O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
1.9,-19.86,-0.87,21.62,0.99,30.96,28.46,42.53,29.8,11.36,0
-3.41,21.34,16.27,-17.4,8.25,34.95,24.41,40.86,33.62,14.83,0
-22.59,-8.07,21.88,15.86,-9.52,40.99,12.51,35.52,18.42,32.86,0
-22.26,4.6,22.66,12.52,-9.73,36.32,30.54,30.87,35.35,33.87,0
-20.59,18.85,-23.45,-3.39,-6.02,22.38,25.06,37.68,11.94,35.99,0
10.72,-10.38,-13.36,6.99,23.75,19.62,18.94,35.8,37.97,40.6,0
20.81,-19.83,21.98,-22.66,6.41,43.47,21.8,30.7,39.12,17.71,0
22.26,-22.56,-8.67,4.82,-14.79,29.7,32.88,42.54,23.27,20.13,0
1.76,-15.82,-21.02,16.25,22.12,15.69,23.16,40.91,22.27,37.16,0
-20.16,10.64,16.81,-22.41,-3.73,24.06,14.33,42.58,41.71,30.61,0
-20.47,-23.42,-5.02,18.36,5.8,26.62,43.42,44.52,22.15,41.64,0
22.72,-22.33,6.16,-17.97,17.25,34.02,40.25,35.77,23.58,21.58,0
-23.08,22.25,0.41,-7.22,8.33,34.37,38.1,23.14,16.88,43.92,0
23.15,-10.58,0.92,10.58,7.86,44.82,11.42,30.47,41.58,13.73,0
-13.99,22.61,21.43,-18.21,3.95,39.84,34.85,16.1,16.99,13.78,0
-4.27,-5.53,-0.19,22.94,18.33,25.61,36.99,17.16,42.29,24.83,0
-23.28,12.17,4.34,-11.5,-18.74,39.38,28.48,17.79,15.5,25.49,0
-7.39,20.25,10.22,-3.82,21.94,42.74,30.38,19.33,39.65,39.32,0
-23.19,1.1,7.99,-20.2,21.59,41.05,16.44,13.2,43.15,32.35,0
6.16,20.8,-22.01,-1.33,6.31,43.41,26.66,33.86,13.08,11.6,0
-12.33,12.36,21.7,-10.87,16.81,19.88,42.64,39.35,21.94,19.85,0
-5.87,17.52,-9.31,-23.28,22.18,38.2,41.6,7.56,43.08,27.47,0
-22.03,-4.78,-21.7,2.14,22.69,33.9,18.44,26.08,16.18,42.04,0
16.78,-6.04,-6.06,-22.25,13.89,21.49,34.65,17.08,29.93,40.82,0
23.55,-22.51,13.35,9.32,-4.72,41.56,39.53,12.38,31.19,15.88,0
-3.65,-9.01,-11.27,-21.86,22.29,25.04,35.89,49.62,29.74,39.44,0
-4.74,-23.34,-23.25,-2.43,18.26,47.58,33.05,41.78,40.41,22.42,0
6.08,-16.75,23.58,-2.08,-21.75,8.58,17.92,40.92,44.92,42.75,0
22.55,-6.97,-9.5,21.5,8.91,42.37,37.14,15.42,25.97,14.76,0
22.7,-23.14,-3.56,12.42,-16.13,40.58,41.91,32.64,16.75,24.22,0
15.47,9.67,-8.81,-19.4,-6.44,36.28,15.43,43.78,25.38,16.82,0
-16.65,-23.08,9.12,-12.71,22.92,21.42,40.48,11.85,23.76,37.51,0
3.48,-16.17,-20.44,17.7,17.21,16.75,17.73,41.14,42.59,22.09,0
-12.12,-1.91,-22.85,-17.71,18.15,15.55,29.0,42.16,25.77,26.15,0
22.18,-1.55,-19.33,16.41,8.39,38.62,16.24,24.57,17.06,41.5,0
17.24,-20.87,-22.89,1.03,16.38,40.41,28.45,42.37,15.78,28.9,0
23.37,17.75,-19.86,-23.56,-1.4,42.48,21.54,25.99,38.64,28.57,0
-4.96,-4.81,21.45,-17.28,-9.31,40.84,35.61,28.64,38.07,17.8,0
-16.7,-22.89,21.66,10.69,14.86,23.37,36.98,34.99,42.63,16.02,0
21.78,4.05,-4.84,-20.22,14.71,39.04,14.17,25.01,27.46,40.45,0
-18.43,-0.72,-3.85,19.88,6.6,13.81,38.81,43.4,28.07,8.02,0
-0.78,10.8,-22.58,15.86,-9.41,16.5,42.91,36.75,22.64,41.74,0
-17.99,-7.87,-23.23,18.67,23.58,24.21,18.92,38.87,17.95,37.45,0
-2.15,6.24,-12.59,20.3,-19.85,14.97,33.19,37.13,26.47,31.21,0
-13.5,-5.38,-13.41,23.21,2.45,33.18,39.57,19.86,44.61,14.37,0
-15.56,-22.7,5.77,14.03,-13.89,28.48,43.13,25.41,13.49,42.26,0
9.34,-19.46,-3.15,22.49,15.59,11.73,25.89,29.11,33.85,24.12,0
