O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
22.03,19.93,-3.09,1.8,-22.86,40.95,26.73,34.09,20.93,39.27,3
22.52,9.31,-16.94,-1.21,-21.71,40.23,28.27,12.36,8.73,39.45,3
20.9,-17.86,-3.07,1.8,-3.9,29.27,32.81,38.2,21.41,42.01,3
-15.74,10.98,9.3,3.03,-4.38,20.15,31.44,12.48,28.15,42.36,3
-22.24,-15.7,22.63,15.22,-1.78,39.22,17.53,36.17,30.79,13.03,3
5.32,22.43,-7.9,16.74,-22.0,15.03,38.54,37.15,24.53,40.16,3
-0.63,7.17,21.47,-9.13,-21.58,17.11,23.13,40.99,34.91,38.28,3
12.58,0.72,-16.33,-23.16,21.21,16.52,34.9,7.42,41.29,41.36,3
-8.51,1.57,-1.66,18.2,-22.03,17.88,23.74,28.43,23.05,40.54,3
-17.89,18.42,1.84,-2.22,-5.3,25.64,20.48,40.16,17.28,43.19,3
21.73,-2.37,21.43,-3.15,-23.35,38.26,27.83,27.91,14.92,39.2,3
12.27,12.59,-18.43,0.13,22.92,16.52,39.95,35.96,42.92,37.43,3
-21.6,17.26,23.41,-3.32,8.32,25.72,22.9,44.72,14.52,34.22,3
-21.21,0.11,20.15,9.01,-12.34,34.79,16.41,30.74,24.08,10.76,3
-10.61,-22.82,-10.18,10.64,6.75,18.71,41.25,33.48,38.08,13.95,3
5.37,-22.18,-15.69,-22.71,-4.95,38.13,32.39,41.13,42.7,14.43,3
-14.2,4.65,19.52,11.99,-15.63,21.55,42.86,38.75,17.12,43.19,3
-3.82,2.21,9.84,0.51,-22.58,11.14,37.62,46.16,33.57,36.11,3
10.61,1.92,-10.14,-22.92,21.73,15.86,41.39,38.86,38.63,31.19,3
-5.32,7.98,-23.27,-5.98,-2.02,46.27,13.43,42.64,14.18,37.3,3
23.48,-21.04,-4.45,16.1,-21.68,35.1,22.25,13.5,23.25,40.43,3
1.65,-3.36,-22.78,-13.89,5.56,41.43,45.65,42.79,16.73,14.47,3
-18.8,1.0,23.33,-22.19,8.53,12.0,36.3,40.47,38.24,11.6,3
-5.2,22.57,-10.16,6.48,-23.1,47.75,40.34,30.73,24.23,42.57,3
16.95,-1.1,-3.44,22.77,-21.56,19.77,13.88,34.06,39.74,26.93,3
-22.76,-12.71,-23.42,6.75,9.94,43.49,34.39,35.04,41.88,7.73,3
22.55,-21.42,14.39,17.04,-1.74,32.09,32.44,20.28,45.1,15.42,3
-10.7,23.08,14.41,4.29,-13.25,26.89,38.52,22.58,15.26,21.04,3
-6.44,22.9,12.84,-0.75,10.37,39.93,39.84,19.73,13.77,45.73,3
15.38,-4.12,8.11,23.12,-22.28,33.36,14.13,21.3,42.67,41.47,3
-5.44,21.22,-3.14,-23.32,0.23,15.27,40.2,39.06,39.23,40.8,3
3.91,-20.27,-22.62,-13.16,15.7,41.1,41.89,31.64,18.72,21.26,3
-9.02,16.31,22.43,-16.68,-6.1,37.95,38.37,40.26,41.6,7.84,3
19.6,5.47,-12.02,14.21,4.76,33.5,29.73,15.89,19.73,44.1,3
-0.7,-16.95,-22.92,4.3,-18.28,25.27,44.01,39.31,40.43,24.29,3
-18.69,-22.71,-8.83,-0.58,17.66,23.67,42.55,40.45,14.88,22.91,3
-3.27,17.01,-23.03,7.3,-3.2,49.33,25.25,43.53,41.95,37.31,3
-18.4,-8.04,-7.79,2.43,12.11,28.42,11.78,37.29,38.73,19.64,3
-11.58,11.92,-23.58,20.08,-9.08,19.75,29.92,40.58,23.08,9.25,3
-0.75,-23.21,18.44,-7.63,23.58,18.26,40.97,23.53,40.44,37.94,3
-10.35,-8.52,-22.89,23.46,11.52,14.97,33.84,42.09,36.93,12.98,3
7.27,-0.46,-12.9,2.69,-23.35,34.85,23.19,39.36,45.04,38.32,3
9.85,-22.09,22.99,7.9,2.04,45.65,38.87,35.75,41.41,14.19,3
8.7,20.59,-13.58,-4.42,-17.67,33.81,27.59,19.17,12.97,40.28,3
1.66,-22.37,-16.23,18.87,9.79,12.46,39.04,22.67,25.0,36.9,3
1.25,-14.29,-22.25,20.39,14.61,24.14,21.78,38.23,40.81,14.27,3
2.92,-22.99,11.18,-4.9,4.1,44.17,40.81,17.64,24.32,17.16,3
-23.23,11.84,-4.6,-0.82,23.04,41.14,17.13,24.92,41.08,38.54,3
-14.53,5.64,21.79,-3.64,-22.81,17.88,17.42,40.01,38.63,40.37,3
-22.87,21.46,11.88,-12.22,-5.36,41.67,41.99,18.79,36.36,19.79,3
22.44,7.06,-16.05,-22.92,-2.19,36.63,29.93,24.59,41.17,15.86,3
8.34,23.01,-1.97,-19.15,-7.04,16.07,38.36,13.6,39.39,29.47,3
0.28,1.31,-8.15,19.16,22.67,29.79,12.88,40.37,24.85,40.86,3
21.5,-8.34,-23.16,-13.02,4.6,38.83,38.39,36.92,21.27,41.68,3
1.94,2.01,12.28,-22.44,11.66,12.03,41.61,29.74,37.8,32.99,3
21.51,10.29,-1.64,-19.99,-1.93,30.89,36.42,4.29,31.56,33.43,3
4.75,20.58,3.91,-17.6,-23.12,12.34,27.09,17.79,16.94,39.74,3
-22.65,9.18,-3.8,-14.4,23.2,39.95,22.15,37.22,21.42,38.78,3
23.01,6.53,-3.8,-22.44,19.11,40.59,45.13,13.97,37.67,22.66,3
-2.38,-18.93,22.84,7.79,1.53,39.21,25.15,38.34,43.95,31.47,3
18.9,-23.04,-20.82,1.54,-7.67,23.42,43.77,24.67,41.31,30.5,3
-15.73,-22.74,21.13,-6.81,-0.68,22.03,36.06,35.84,39.01,33.8,3
-9.91,-0.91,20.02,22.08,-19.5,18.55,31.73,26.15,41.46,40.31,3
23.15,0.92,-0.3,-22.48,20.46,41.1,13.45,45.91,37.12,27.4,3
-2.5,14.3,17.46,-16.38,23.17,24.46,40.14,23.19,32.18,39.86,3
